U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time;
02,60;3,46;00,00;10,12;600,0;35,0;N/A;N/A;OFF;ON;CC;NONE;00:00:00,440;
02,60;3,50;00,00;5,90;600,0;20,6;N/A;N/A;OFF;ON;CC;NONE;00:00:00,940;
02,60;3,54;00,00;1,59;600,0;5,7;N/A;N/A;OFF;ON;CC;NONE;00:00:01,440;
02,60;3,40;00,00;16,43;600,0;55,8;N/A;N/A;OFF;ON;CC;NONE;00:00:01,940;
02,60;3,40;00,00;15,53;600,0;52,9;N/A;N/A;OFF;ON;CC;NONE;00:00:02,440;
02,60;3,35;00,00;20,41;600,0;68,3;N/A;N/A;OFF;ON;CC;NONE;00:00:02,940;
02,60;3,29;00,00;25,30;600,0;83,3;N/A;N/A;OFF;ON;CC;NONE;00:00:03,440;
02,60;3,39;00,00;14,79;600,0;50,0;N/A;N/A;OFF;ON;CC;NONE;00:00:03,940;
02,60;3,54;00,00;0,43;600,0;1,5;N/A;N/A;OFF;ON;CC;NONE;00:00:04,440;
02,60;3,55;00,00;0,30;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:04,940;
02,60;3,55;00,00;0,23;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:05,440;
02,60;3,56;00,00;0,17;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:05,940;
02,60;3,56;00,00;0,10;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:06,440;
02,60;3,56;00,00;0,00;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:06,940;
02,60;3,46;00,00;9,83;600,0;34,1;N/A;N/A;OFF;ON;CC;NONE;00:00:07,440;
02,60;3,43;00,00;12,47;600,0;42,8;N/A;N/A;OFF;ON;CC;NONE;00:00:07,940;
02,60;3,40;00,00;15,12;600,0;51,5;N/A;N/A;OFF;ON;CC;NONE;00:00:08,440;
02,60;3,37;00,00;17,77;600,0;59,9;N/A;N/A;OFF;ON;CC;NONE;00:00:08,940;
02,60;3,42;00,00;12,60;600,0;43,1;N/A;N/A;OFF;ON;CC;NONE;00:00:09,440;
02,60;3,47;00,00;7,84;600,0;27,2;N/A;N/A;OFF;ON;CC;NONE;00:00:09,940;
02,60;3,49;00,00;5,51;600,0;19,2;N/A;N/A;OFF;ON;CC;NONE;00:00:10,440;
02,60;3,52;00,00;3,18;600,0;11,2;N/A;N/A;OFF;ON;CC;NONE;00:00:10,940;
